Name,RAJ2000,DEJ2000,Dist,Vsys,PA,i,VMag,Ab(O/H),log(SFR)Ha,log(SFR)FUV,Rmax,R0.3,V(Rmax),Viso(Rmax),Rmax/HI,z0,c,cM07,V200,V200M07,Rc,rho0,alphamin,f_alphamin,alpha3.6,f_alpha3.6,Mgas,MstarK,MstarSED,log(Mdyn),log(M200),CatLT,RotDMbar,RotDM,DensDMbar,DensDM,SimbadName,NED,LEDA
CVnIdwA,12 38 39.2,+32 45 41.0,3.6,306.2,48.4,66.5,-12.4,7.3,-2.58,-2.48,2.59,2.27,23.5,23.7,13.5,0.24,-0.4,11.0,478.5,16.1,2.01,8.19,-1.25,,0.03,,2.91,0.41,0.49,8.529,9.138,1,plot,plot,plot,plot,UGCA 292,NED,LEDA
DDO_43,07 28 17.7,+40 46 08.3,7.8,355.4,294.1,40.6,-15.1,8.3,-1.78,-1.55,4.19,4.19,33.2,38.5,13.7,1e+20,5.6,10.2,39.8,31.4,0.94,33.22,-0.15,,-0.25,*,23.26,1e+20,1e+20,9.159,10.317,1,plot,plot,plot,plot,DDO 43,NED,LEDA
DDO_46,07 41 26.3,+40 06 37.5,6.1,360.8,274.1,27.9,-14.7,8.1,-2.89,-2.46,2.92,2.04,66.1,77.4,15.7,1e+20,18.7,9.0,61.2,136.7,0.51,517.82,-0.41,,-0.42,*,22.08,1e+20,1e+20,9.609,11.925,1,plot,plot,plot,plot,DDO 46,NED,LEDA
DDO_47,07 41 55.3,+16 48 07.1,5.2,270.7,311.6,45.5,-15.5,7.8,-2.7,-2.4,7.71,1.55,64.7,68.9,29.3,1e+20,-0.4,9.2,1359.0,51.3,3.72,12.15,-1.24,,-1.25,*,46.8,1e+20,1e+20,9.93,10.648,1,plot,plot,plot,plot,DDO 47,NED,LEDA
DDO_50,08 19 03.7,+70 43 24.6,3.4,156.5,175.7,49.7,-16.6,7.7,-1.67,-1.55,9.81,1.67,35.7,35.7,84.4,0.28,22.2,10.3,15.4,28.8,0.15,379.64,-0.41,,0.1,,132.52,9.79,10.6,9.463,9.895,1,plot,plot,plot,plot,DDO 50,NED,LEDA
DDO_52,08 28 28.4,+41 51 26.5,10.3,399.0,8.2,43.0,-15.4,7.7,-3.2,-2.43,5.43,5.43,60.2,60.5,15.9,0.26,6.1,9.4,71.9,57.8,1.33,48.81,-0.55,,-0.49,,33.43,7.2,5.31,9.664,10.803,1,plot,plot,plot,plot,DDO 52,NED,LEDA
DDO_53,08 34 06.4,+66 10 47.9,3.6,18.6,131.6,27.0,-13.8,7.6,-2.42,-2.41,1.45,0.62,28.6,33.1,13.1,0.14,0.0,10.4,425.8,27.8,2.22,25.1,-0.27,,0.14,,7.0,0.96,0.97,8.567,9.849,1,plot,plot,plot,plot,DDO 53,NED,LEDA
DDO_70,10 00 00.9,+05 20 12.9,1.3,303.5,44.5,50.0,-14.1,7.5,-2.85,-2.16,2.0,0.55,43.9,35.5,22.9,0.11,0.0,10.3,866.1,38.6,0.51,119.95,-0.43,,-0.48,,3.8,1.24,1.96,8.768,10.277,1,plot,plot,plot,plot,DDO 70,NED,LEDA
DDO_87,10 49 34.9,+65 31 47.9,7.7,340.0,235.1,55.5,-15.0,7.8,-1.36,-1.0,7.39,4.13,56.6,56.2,26.1,0.48,0.0,9.5,511.4,40.7,2.46,13.91,-0.01,,-0.01,,29.12,6.18,3.27,9.734,10.346,1,plot,plot,plot,plot,DDO 87,NED,LEDA
DDO_101,11 55 39.1,+31 31 09.9,6.4,589.4,287.4,51.0,-15.0,8.7,-2.85,-2.81,1.95,1.05,64.5,63.6,7.5,0.13,25.0,9.4,43.9,115.7,0.32,849.14,-1.0,,-1.02,,3.48,5.79,6.54,9.279,510.18,1,plot,plot,plot,plot,DDO 101,NED,LEDA
DDO_126,12 27 06.6,+37 08 15.9,4.9,219.4,138.0,65.0,-14.9,7.8,-2.37,-2.1,3.99,2.88,37.2,40.5,24.3,0.23,-0.2,10.1,626.6,31.4,1.33,21.59,-0.41,,-0.39,,16.36,2.27,1.62,9.182,10.008,1,plot,plot,plot,plot,DDO 126,NED,LEDA
DDO_133,12 32 55.2,+31 32 19.1,3.5,330.7,359.6,43.4,-14.8,8.2,-2.88,-2.62,3.48,3.48,46.1,47.5,16.5,0.22,4.9,9.8,74.5,46.6,0.83,73.69,-0.11,,-0.11,,12.85,2.62,3.04,9.261,10.522,1,plot,plot,plot,plot,DDO 133,NED,LEDA
DDO_154,12 54 05.7,+27 09 09.9,3.7,372.0,226.3,68.2,-14.2,7.5,-2.5,-1.93,7.32,2.59,47.8,49.2,51.3,0.14,6.4,9.8,48.7,41.1,0.95,53.21,-0.39,,-0.41,,35.27,1.31,0.83,9.614,10.359,1,plot,plot,plot,plot,DDO 154,NED,LEDA
DDO_168,13 14 27.3,+45 55 37.3,4.3,192.6,275.5,46.5,-15.7,8.3,-2.27,-2.04,3.14,3.14,60.3,67.4,19.2,0.22,-0.3,9.2,2290.8,63.9,2.81,39.81,-0.28,,0.97,,25.94,5.13,5.85,9.52,10.934,1,plot,plot,plot,plot,DDO 168,NED,LEDA
DDO_210,20 46 51.6,-12 50 57.7,0.9,-139.5,65.0,66.7,-10.9,7.2,1e+20,-2.71,0.31,0.31,12.0,11.3,6.0,0.1,0.0,12.2,339.4,12.4,0.2,116.43,-0.3,,-0.7,,0.14,0.04,0.06,6.964,8.797,1,plot,plot,plot,plot,DDO 210,NED,LEDA
DDO_216,23 28 34.7,+14 44 56.2,1.1,-186.0,133.6,63.7,-13.7,7.9,-4.1,-3.21,1.12,0.48,18.9,15.7,13.0,0.27,13.2,11.7,8.8,14.7,0.15,127.02,-0.17,,-0.3,,0.49,1.6,1.51,7.807,9.019,1,plot,plot,plot,plot,DDO 216,NED,LEDA
F564-V3,09 02 54.0,+20 04 26.3,8.7,481.0,12.5,56.5,-14.0,7.6,1e+20,-2.79,3.71,1.83,28.8,34.2,7.0,1e+20,10.8,10.4,26.2,29.6,0.55,74.24,-0.66,*,-0.68,*,4.37,1e+20,1e+20,9.003,9.931,1,plot,plot,plot,plot,LEDA 86668,NED,LEDA
IC_10,00 20 18.9,+59 17 49.9,0.7,-348.0,55.7,47.0,-16.3,8.2,-1.11,1e+20,0.54,0.2,36.5,36.1,27.0,0.07,0.2,18.6,2077.1,36.8,0.27,190.4,-1.19,,-0.25,,1.65,11.81,1e+20,8.213,10.215,1,plot,plot,plot,plot,IC 10,NED,LEDA
IC_1613,01 04 49.6,+02 08 14.1,0.7,-232.2,73.7,48.0,-14.6,7.6,-2.56,-1.99,2.71,0.36,16.9,21.1,103.8,0.15,5.0,11.2,5.4,12.5,0.2,19.25,1.16,,-0.1,,5.93,1.94,2.88,8.448,8.808,1,plot,plot,plot,plot,IC 1613,NED,LEDA
NGC_1569,04 30 46.2,+64 51 10.3,3.4,-85.4,122.5,69.1,-18.2,8.2,0.19,-0.01,3.05,2.81,29.1,46.9,31.5,0.19,-0.3,9.8,736.6,40.9,2.71,15.23,-0.77,,-0.23,,20.24,20.69,36.29,9.193,10.352,1,plot,plot,plot,plot,NGC 1569,NED,LEDA
NGC_2366,07 28 53.4,+69 12 49.6,3.4,103.5,38.7,63.0,-16.8,7.9,-1.67,-1.66,8.08,2.75,58.2,60.8,70.7,0.29,5.2,9.4,66.0,52.6,1.21,43.89,-0.52,,-0.53,,108.24,10.81,6.94,9.841,10.68,1,plot,plot,plot,plot,NGC 2366,NED,LEDA
NGC_3738,11 35 46.9,+54 31 44.8,4.9,235.8,292.2,22.6,-17.1,8.4,-1.66,-1.53,1.75,1.1,125.5,130.2,11.7,0.12,12.4,8.1,310.4,598.2,0.45,2132.36,-0.42,,-0.44,,12.58,12.48,46.62,9.838,13.848,1,plot,plot,plot,plot,NGC 3738,NED,LEDA
UGC_8508,13 30 44.9,+54 54 32.4,2.6,60.5,126.1,82.5,-13.6,7.9,-2.03,1e+20,1.86,0.46,46.0,43.5,25.0,0.09,7.8,10.0,54.7,44.2,1.95,45.29,-0.31,,-0.38,,1.19,0.3,0.77,8.913,10.453,1,plot,plot,plot,plot,UGC 8508,NED,LEDA
WLM,00 01 59.9,-15 27 57.2,1.0,-122.3,174.5,74.0,-14.4,7.8,-2.77,-2.05,3.04,1.6,37.3,37.7,82.9,0.17,3.0,10.2,90.8,33.3,0.74,57.46,0.03,,-0.02,,7.96,1.23,1.62,9.002,10.085,1,plot,plot,plot,plot,PGC 143,NED,LEDA
HARO_29,12 26 18.4,+48 29 40.4,5.9,279.3,214.5,61.2,-14.6,7.9,-0.77,-1.07,5.03,0.64,30.5,35.0,25.7,1e+20,19.5,10.4,23.4,32.7,0.23,414.68,-0.5,,-0.5,*,9.35,1e+20,1.43,9.156,10.061,1,plot,plot,plot,plot,PGC 40665,NED,LEDA
HARO_36,12 46 56.6,+51 36 47.3,9.3,499.3,248.4,70.0,-15.9,8.4,-1.86,-1.55,3.16,3.16,58.2,52.6,10.0,0.13,-0.4,9.7,1649.2,47.9,8.4,16.99,-0.48,,-0.5,,11.16,5.81,1e+20,9.308,10.558,1,plot,plot,plot,plot,PGC 43124,NED,LEDA
